case_id,split,seed,turns,voltage_v,velocity_um_s,correct_fraction,live_recovery,dead_removal,live_purity,dead_outlet_purity,wall_loss,live_lost,dead_lost
turns_3.5_voltage_7_velocity_1200um_s,validation,103,3.5,7.0,1200.0,0.4166666666666667,0.2388888888888889,0.5944444444444444,0.40186915887850466,0.5119617224880383,0.12222222222222222,35,9
turns_3.5_voltage_7_velocity_1200um_s,validation,107,3.5,7.0,1200.0,0.4222222222222222,0.2222222222222222,0.6222222222222222,0.40404040404040403,0.5384615384615384,0.14722222222222223,44,9
turns_3.5_voltage_7_velocity_1800um_s,design,7,3.5,7.0,1800.0,0.4222222222222222,0.25,0.5944444444444444,0.4166666666666667,0.5219512195121951,0.13055555555555556,37,10
turns_3.5_voltage_7_velocity_1800um_s,design,11,3.5,7.0,1800.0,0.4305555555555556,0.25,0.6111111111111112,0.41284403669724773,0.5116279069767442,0.1,30,6
turns_3.5_voltage_7_velocity_1800um_s,design,13,3.5,7.0,1800.0,0.43333333333333335,0.26666666666666666,0.6,0.42105263157894735,0.5192307692307693,0.10555555555555556,32,6
turns_3.5_voltage_7_velocity_1800um_s,validation,101,3.5,7.0,1800.0,0.41388888888888886,0.2777777777777778,0.55,0.42016806722689076,0.5238095238095238,0.14444444444444443,40,12
turns_3.5_voltage_7_velocity_1800um_s,validation,103,3.5,7.0,1800.0,0.42777777777777776,0.24444444444444444,0.6111111111111112,0.4074074074074074,0.5365853658536586,0.13055555555555556,41,6
turns_3.5_voltage_7_velocity_1800um_s,validation,107,3.5,7.0,1800.0,0.4638888888888889,0.31666666666666665,0.6111111111111112,0.4789915966386555,0.5445544554455446,0.10833333333333334,31,8
turns_3.5_voltage_7_velocity_2600um_s,design,7,3.5,7.0,2600.0,0.49722222222222223,0.37222222222222223,0.6222222222222222,0.5491803278688525,0.5283018867924528,0.07222222222222222,13,13
turns_3.5_voltage_7_velocity_2600um_s,design,11,3.5,7.0,2600.0,0.4222222222222222,0.26666666666666666,0.5777777777777777,0.44036697247706424,0.49523809523809526,0.11388888888888889,26,15
turns_3.5_voltage_7_velocity_2600um_s,design,13,3.5,7.0,2600.0,0.4305555555555556,0.3111111111111111,0.55,0.4409448818897638,0.5103092783505154,0.10833333333333334,29,10
