frequency_hz,live_re_cm,dead_re_cm,dead_minus_live
32127.994,0.953434412629473,-4.2427223993679953e-05,-0.9534768398534668
32500.487,0.9539565035409954,-4.2427377475777556e-05,-0.9539989309184711
32877.298,0.954467212618537,-4.242753453741418e-05,-0.9545096401530744
33258.479,0.9549667766618932,-4.242769526196583e-05,-0.9550092043571552
33644.078,0.9554554280430873,-4.242785973497865e-05,-0.9554978559028222
34034.149,0.9559333947667024,-4.242802804401816e-05,-0.9559758227947464
34428.742,0.9564009005304674,-4.242820027834945e-05,-0.9564433287307458
34827.91,0.9568581647860341,-4.242837652956721e-05,-0.9569005931625637
35231.706,0.9573054027998749,-4.242855689131998e-05,-0.9573478313567662
35640.183,0.957742825714248,-4.242874145958107e-05,-0.9577852544557075
36053.396,0.9581706406081708,-4.242893033221727e-05,-0.958213069538503
36471.401,0.9585890505583468,-4.2429123609932094e-05,-0.9586314796819567
36894.251,0.9589982546999967,-4.242932139519345e-05,-0.9590406840213919
37322.004,0.9593984482875463,-4.242952379317577e-05,-0.9594408778113395
37754.717,0.959789822755126,-4.2429730911685685e-05,-0.9598322524860378
38192.446,0.9601725657768395,-4.24299428605789e-05,-0.9602149957197001
38635.25,0.9605468613267623,-4.2430159752570376e-05,-0.9605892914865148
39083.189,0.9609128897386341,-4.243038170304855e-05,-0.9609553201203371
39536.32,0.9612708277652074,-4.243060882977078e-05,-0.9613132583740372
39994.705,0.9616208486372257,-4.243084125354202e-05,-0.9616632794784793
40458.405,0.9619631221219925,-4.243107909792483e-05,-0.9620055532010905
40927.481,0.9622978145815123,-4.2431322489461595e-05,-0.9623402459040018
41401.996,0.9626250890301703,-4.243157155730124e-05,-0.9626675206017276
41882.012,0.9629451051919318,-4.243182643393694e-05,-0.9629875370183657
42367.593,0.9632580195570333,-4.24320872548485e-05,-0.9633004516442881
42858.804,0.9635639854381525,-4.243235415862535e-05,-0.963606417792311
43355.711,0.9638631530260298,-4.243262728716485e-05,-0.963905585653317
43858.378,0.9641556694445291,-4.243290678563765e-05,-0.9641981023513148
44366.873,0.9644416788051234,-4.243319280253026e-05,-0.9644841119979259
44881.264,0.9647213222607851,-4.2433485490013736e-05,-0.9647637557462752
45401.619,0.964994738059272,-4.243378500345207e-05,-0.9650371718442755
45928.007,0.9652620615957989,-4.2434091502197055e-05,-0.965304495687301
46460.497,0.9655234254650792,-4.24344051491178e-05,-0.9655658598702284
46999.162,0.9657789595127317,-4.243472611090725e-05,-0.9658213942388426
47544.072,0.9660287908860437,-4.243505455812157e-05,-0.9660712259406018
48095.299,0.9662730440840791,-4.243539066536719e-05,-0.9663154794747445
48652.917,0.9665118410071339,-4.243573461136917e-05,-0.9665542767417453
49217.001,0.9667453010055246,-4.24360865787862e-05,-0.9667877370921034
49787.624,0.9669735409277124,-4.243644675474646e-05,-0.9670159773744671
50364.863,0.967196675167756,-4.2436815330732425e-05,-0.9672391119830868
50948.795,0.9674148157120916,-4.2437192502543034e-05,-0.9674572529045942
51539.497,0.9676280721856404,-4.243757847079242e-05,-0.9676705097641112
52137.047,0.9678365518972369,-4.243797344060009e-05,-0.9678789898706776
52741.526,0.9680403598843854,-4.2438377621721255e-05,-0.9680827982620072
53353.013,0.9682395989573377,-4.2438791229190425e-05,-0.9682820377485669
53971.589,0.9684343697424976,-4.243921448268608e-05,-0.9684768089569803
54597.337,0.9686247707251535,-4.243964760720975e-05,-0.9686672103727607
55230.341,0.9688108982915361,-4.244009083294805e-05,-0.9688533383823691
55870.683,0.9689928467702109,-4.24405443955826e-05,-0.9690352873146065
56518.449,0.9691707084728037,-4.244100853603688e-05,-0.9692131494813397
57173.726,0.9693445737340626,-4.2441483501080775e-05,-0.9693870152175637
57836.6,0.9695145309512628,-4.2441969543176404e-05,-0.969556972920806
58507.159,0.9696806666229565,-4.244246692056068e-05,-0.969723109089877
59185.493,0.9698430653870725,-4.2442975897521286e-05,-0.96988550836297
59871.691,0.9700018100583712,-4.24434967448492e-05,-0.970044253555116
60565.846,0.9701569816652591,-4.244402973913334e-05,-0.9701994256949983
61268.048,0.970308659485969,-4.244457516376552e-05,-0.9703511040611328
61978.391,0.9704569210841117,-4.244513330850276e-05,-0.9704993662174203
62696.971,0.9706018423436036,-4.24457044701601e-05,-0.9706442880480738
63423.881,0.9707434975029787,-4.2446288952117706e-05,-0.9707859437919308
64159.22,0.9708819591890898,-4.244688706516117e-05,-0.9709244060761549
64903.084,0.9710172984502048,-4.244749912716093e-05,-0.971059745949332
65655.572,0.9711495847885064,-4.2448125463296284e-05,-0.9711920329139697
66416.785,0.9712788861920009,-4.244876640654495e-05,-0.9713213349584074
67186.823,0.9714052691658447,-4.2449422297607324e-05,-0.9714477185881423
67965.789,0.9715287987630915,-4.2450093484809346e-05,-0.9715712488565763
68753.786,0.9716495386148725,-4.245078032521958e-05,-0.9716919893951976
69550.92,0.9717675509600135,-4.2451483183717494e-05,-0.9718100024431973
70357.295,0.9718828966740977,-4.245220243376197e-05,-0.9719253488765314
71173.02,0.9719956352979789,-4.2452938457681255e-05,-0.9720380882364367
71998.202,0.9721058250657589,-4.2453691646723775e-05,-0.9721482787574056
72832.952,0.9722135229322274,-4.2454462401052625e-05,-0.9722559773946284
